Reference, Value, Footprint, Datasheet, 
R15, 33k, Resistors_SMD:R_0805_HandSoldering, , 
W9, TEST_1P, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
R14, 12k, Resistors_SMD:R_0805_HandSoldering, , 
R16, 33k, Resistors_SMD:R_0805_HandSoldering, , 
W10, TEST_1P, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
D5, Zener_3V3, w_smd_diode:sod123, , 
D6, Zener_3V3, w_smd_diode:sod123, , 
RP_E2, CONN_02X13, Connect:IDC_Header_Straight_26pins, , 
P1, Conn_GPS, Pin_Headers:Pin_Header_Straight_1x08, , 
P4, I2C_EXT, Pin_Headers:Pin_Header_Straight_1x04, , 
J1, DB15, Connect:DB15MC, , 
J2, DB15, Connect:DB15MC, , 
C11, 100n, w_smd_cap:c_0805, , 
R19, 10k, Resistors_SMD:R_0805_HandSoldering, , 
R20, 10k, Resistors_SMD:R_0805_HandSoldering, , 
R17, 1K_1%, Resistors_SMD:R_0805_HandSoldering, , 
R18, 1k_1%, Resistors_SMD:R_0805_HandSoldering, , 
JP5, Jumper_NO_Small, Pin_Headers:Pin_Header_Straight_1x02, , 
P6, CONN_01X04, Pin_Headers:Pin_Header_Straight_1x04, , 
P5, CONN_01X06, Pin_Headers:Pin_Header_Straight_1x06, , 
GS1, GS2, horacio_mod:GS2, , 
GS2, GS2, horacio_mod:GS2, , 
GS3, GS2, horacio_mod:GS2, , 
GS4, GS2, horacio_mod:GS2, , 
P2, Conn_BMP280, Pin_Headers:Pin_Header_Straight_1x04, , 
J4, HEADER_16, Pin_Headers:Pin_Header_Straight_1x16, , 
L8, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L10, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L12, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L14, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L7, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L9, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L11, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L13, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L16, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L18, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L15, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
L17, 10u, Choke_SMD:Choke_SMD_1206_Standard, , 
U3, LT8471, Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm, , 
C18, 1u, w_smd_cap:c_0805, , 
L1, 15uH, Inductors_NEOSID:Neosid_Inductor_SM-NE56_SMD2220, , 
C24, 2.2uF, w_smd_cap:c_1206, , 
D9, MBRS340, Diodes_SMD:DO-214AB, , 
L4, 3.9uH, Inductors:self_cms_we-tpc_XL, , 
L3, 3.9uH, Inductors:self_cms_we-tpc_XL, , 
C25, 2.2uF, w_smd_cap:c_1206, , 
R24,180k, Resistors_SMD:R_0805_HandSoldering, , 
R27,180k, Resistors_SMD:R_0805_HandSoldering, , 
R29, 100K, Resistors_SMD:R_0805_HandSoldering, , 
R30, 100K, Resistors_SMD:R_0805_HandSoldering, , 
C19, 100n, w_smd_cap:c_0805, , 
C17, 100n, w_smd_cap:c_0805, , 
JP7, Jumper, Pin_Headers:Pin_Header_Straight_1x02, , 
R22,560, Resistors_SMD:R_0805_HandSoldering, , 
D10, MBRS340, Diodes_SMD:DO-214AB, , 
J3, BARREL_JACK, Connect:BARREL_JACK, , 
W13, 3V3@0A4, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
W14, -3V3@0A4, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
R21, Fuse, Resistors_SMD:R_0805_HandSoldering, , 
C16,47u, Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5, , 
U2, LM2596, TO_SOT_Packages_SMD:TO-263-5Lead, , 
C12, 100u_25V, Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5, , 
C13, 22n_100V, w_smd_cap:c_0805, , 
C14, 470n_100V, w_smd_cap:c_0805, , 
JP6, Jumper_NO_Small, Pin_Headers:Pin_Header_Straight_1x02, , 
R23, 1k, Resistors_SMD:R_0805_HandSoldering, , 
L2, SRP1265-470M 47u, Inductors:SELF-WE-PD-XXL, , 
D8, B550C-13-F, Diodes_SMD:SMC_Standard, , 
C21, 470n_100V, w_smd_cap:c_0805, , 
C22, 330u, Capacitors_ThroughHole:C_Radial_D10_L16_P5, , 
C23, 220n_100V, w_smd_cap:c_0805, , 
C26, 470n_100V, w_smd_cap:c_0805, , 
R25, 3k3, Resistors_SMD:R_0805_HandSoldering, , 
R26, 1k, Resistors_SMD:R_0805_HandSoldering, , 
R28,100, Resistors_SMD:R_0805_HandSoldering, , 
C20, 3n3_50V, w_smd_cap:c_0805, , 
W11, +12V_in, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
W12, +5V@3A, Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , 
R33, 220k, Resistors_SMD:R_0805_HandSoldering, , 
R34, 68k, Resistors_SMD:R_0805_HandSoldering, , 
R31, 220k, Resistors_SMD:R_0805_HandSoldering, , 
R32, 68k, Resistors_SMD:R_0805_HandSoldering, , 
C27, 47u@10V, Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5, , 
C28, 47u@10V, Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5, , 
C32, 10u_opt, Capacitors_SMD:C_1812_HandSoldering, , 
C34, 100n_opt, w_smd_cap:c_0805, , 
C31, 10u_opt, Capacitors_SMD:C_1812_HandSoldering, , 
C33, 100n, w_smd_cap:c_0805, , 
C29, 47u@10V, Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5, , 
C30, 47u@10V, Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5, , 
L5, 10u_opt, Inductors_NEOSID:Neosid_Inductor_SM1206, , 
L6, 10u_opt, Inductors_NEOSID:Neosid_Inductor_SM1206, , 
D7, Led_Small, w_smd_diode:sod123, , 
C15, 100n, w_smd_cap:c_0805, , 
C35, 1u, w_smd_cap:c_0805, , 
JP1, Jumper_NO_Small, Pin_Headers:Pin_Header_Straight_1x02, , 
,,,,
,,,,
,,https://www.digikey.com/short/jrf07p,,
